Size,Bubble sort,Merge sort,Shell sort,Quick Sort,
100,4949,547,622,644,
100,4914,548,607,601,
100,4949,546,597,655,
100,4929,536,630,654,
100,4884,549,714,594,
100,4895,537,537,630,
100,4914,540,591,713,
100,4935,537,614,665,
100,4845,532,632,615,
100,4940,545,658,689,
100,4760,545,673,657,
100,4935,538,889,583,
100,4895,544,609,615,
100,4797,534,632,539,
100,4905,540,598,599,
100,4947,537,670,716,
100,4905,540,686,755,
100,4830,537,579,551,
100,4845,535,577,642,
100,4845,529,610,572,
100,4797,539,695,638,
100,4830,543,611,667,
100,4914,551,692,749,
100,4859,544,603,591,
100,4914,548,609,666,
100,4895,540,612,697,
100,4947,541,630,857,
100,4859,535,618,638,
100,4895,536,596,625,
100,4797,546,609,645,
100,4872,540,595,641,
100,4797,545,583,576,
100,4872,539,597,624,
100,4895,544,643,655,
100,4872,535,636,565,
100,4830,524,610,608,
100,4830,541,644,625,
100,4947,535,611,649,
100,4797,529,674,544,
100,4905,543,630,610,
100,4922,539,645,729,
100,4859,553,555,661,
100,4895,538,607,581,
100,4599,543,691,572,
100,4884,542,666,620,
100,4884,543,696,607,
100,4949,538,600,634,
100,4872,535,626,599,
100,4884,549,628,557,
100,4779,531,625,810,
100,4884,533,616,601,
100,4914,543,645,763,
100,4914,547,649,632,
100,4922,538,634,658,
100,4929,543,566,648,
100,4949,548,630,594,
100,4922,545,669,604,
100,4944,542,611,556,
100,4830,548,611,624,
100,4940,540,616,614,
100,4895,546,643,694,
100,4914,544,613,738,
100,4872,538,690,612,
100,4914,544,612,695,
100,4935,543,592,579,
100,4947,543,568,603,
100,4884,546,637,608,
100,4719,551,634,660,
100,4935,538,600,530,
100,4949,550,667,656,
100,4830,539,587,588,
100,4797,538,576,631,
100,4814,546,559,672,
100,4929,540,642,583,
100,4905,537,718,556,
100,4814,534,677,594,
100,4872,530,688,591,
100,4719,551,609,664,
100,4947,538,598,556,
100,4922,540,609,642,
100,4914,548,664,553,
100,4760,548,608,690,
100,4830,531,639,630,
100,4929,544,603,553,
100,4950,540,610,693,
100,4895,545,685,646,
100,4859,541,607,783,
100,4929,543,623,578,
100,4740,551,617,604,
100,4940,547,600,780,
100,4929,541,720,642,
100,4905,540,624,817,
100,4859,540,656,553,
100,4905,544,611,590,
100,4914,540,691,609,
100,4872,540,594,546,
100,4905,539,704,654,
100,4935,542,658,712,
100,4859,550,633,610,
100,4884,547,584,595,
200,19834,1293,1578,1369,
200,19864,1281,1768,1607,
200,19690,1284,1667,1603,
200,19879,1276,1645,1261,
200,19885,1274,1767,1458,
200,19822,1282,1792,1589,
200,19575,1277,1661,1513,
200,19885,1275,1611,1397,
200,19690,1274,1576,1498,
200,19690,1257,1602,1360,
200,19647,1279,1735,1390,
200,19780,1292,1568,1531,
200,19764,1283,1545,1397,
200,19575,1275,1535,1601,
200,19372,1281,1641,1435,
200,19669,1283,1675,1404,
200,19710,1282,1517,1657,
200,19669,1255,1559,1584,
200,19885,1274,1550,1796,
200,19747,1271,1597,1505,
200,19710,1290,1503,1340,
200,19372,1279,1673,1410,
200,19795,1281,1791,1673,
200,19710,1272,1705,1698,
200,19575,1277,1477,1441,
200,19822,1273,1610,1494,
200,19872,1282,1565,1412,
200,19899,1290,1647,1408,
200,19864,1284,1613,1500,
200,19834,1287,1523,1499,
200,19747,1289,1525,1320,
200,19855,1281,1764,1610,
200,19894,1285,1534,1528,
200,19494,1296,1611,1419,
200,19894,1282,1575,1435,
200,19159,1272,1544,1426,
200,19845,1284,1408,1539,
200,19710,1268,1525,1383,
200,19435,1279,1762,1288,
200,19764,1277,1619,1430,
200,19690,1295,1603,1679,
200,19872,1273,1700,1510,
200,19795,1284,1466,1532,
200,19780,1283,1553,1253,
200,19864,1297,1575,1359,
200,19845,1279,1677,1441,
200,19690,1281,1685,1449,
200,19795,1278,1682,1379,
200,19872,1276,1571,1398,
200,19834,1296,1584,1457,
200,19894,1292,1615,1579,
200,19780,1286,1546,1343,
200,19855,1281,1517,1422,
200,19600,1277,1607,1773,
200,19669,1273,1446,1427,
200,19809,1285,1679,1336,
200,19710,1284,1540,1561,
200,19885,1280,1813,1475,
200,19885,1288,1581,1451,
200,19747,1278,1549,1423,
200,19795,1277,1460,1551,
200,19780,1292,1578,1420,
200,19647,1278,1511,1532,
200,19465,1282,1487,1458,
200,19822,1293,1750,1598,
200,19729,1285,1776,1374,
200,19494,1277,1547,1559,
200,19845,1267,1662,1574,
200,19897,1277,1644,1977,
200,19729,1279,1638,1502,
200,19795,1293,1639,1496,
200,19845,1272,1559,1633,
200,19669,1287,1734,1485,
200,19900,1276,1522,1383,
200,19780,1276,1737,1511,
200,19669,1262,1707,1522,
200,19822,1279,1616,1618,
200,19864,1288,1595,1552,
200,19710,1292,1614,1554,
200,19795,1283,1584,1572,
200,19855,1297,1710,1585,
200,19647,1277,1657,1429,
200,19747,1262,1640,1590,
200,19624,1274,1553,1536,
200,19822,1290,1730,1557,
200,19575,1283,1595,1485,
200,19845,1278,1539,1335,
200,19879,1292,1575,1544,
200,19669,1274,1578,1883,
200,19729,1287,1514,1472,
200,19747,1284,1781,1550,
200,19795,1287,1654,1837,
200,19845,1275,1698,1476,
200,19897,1270,1600,1374,
200,19780,1280,1509,1511,
200,19890,1280,1750,1763,
200,19855,1264,1746,1685,
200,19890,1293,1669,1482,
200,19809,1278,1747,1422,
200,19669,1282,1465,1412,
300,44822,2114,2555,2425,
300,44322,2095,2526,2086,
300,44640,2102,2488,2545,
300,44619,2096,2423,2664,
300,44772,2081,2338,2244,
300,44640,2096,2334,2602,
300,43989,2070,2557,2314,
300,44697,2097,2344,2466,
300,44847,2099,2376,2976,
300,43947,2107,2524,2153,
300,44714,2102,2414,2382,
300,44444,2099,2465,2299,
300,44550,2070,2415,2392,
300,44550,2089,2562,2509,
300,44499,2087,2431,2162,
300,44525,2097,2580,2375,
300,44714,2079,2586,2552,
300,44822,2104,2592,2283,
300,44795,2125,2340,2689,
300,44730,2098,2490,2491,
300,44550,2083,2473,2617,
300,44840,2111,2344,2458,
300,44835,2110,2500,2396,
300,43769,2104,2485,2245,
300,44697,2095,2345,2239,
300,44147,2097,2545,2259,
300,44730,2104,2430,2405,
300,44814,2106,2447,2399,
300,44660,2102,2616,2343,
300,44772,2103,2522,2432,
300,44525,2090,2690,2888,
300,44697,2088,2526,2828,
300,44597,2088,2809,2591,
300,44835,2111,2627,2464,
300,44525,2086,2334,2540,
300,44354,2081,2532,2285,
300,44772,2104,2492,2385,
300,44499,2102,2424,2489,
300,44472,2089,2590,2286,
300,44619,2096,2388,2158,
300,44697,2092,2445,2491,
300,44415,2084,2367,2457,
300,44697,2096,2446,2354,
300,44619,2098,2454,2309,
300,44840,2084,2531,2505,
300,44840,2078,2417,2378,
300,44550,2113,2324,2299,
300,44745,2104,2578,2329,
300,44385,2107,2311,2545,
300,44660,2107,2304,2816,
300,44415,2084,2490,2651,
300,44805,2099,2449,2296,
300,44597,2091,2290,2243,
300,44805,2087,2705,2209,
300,44840,2089,2534,2476,
300,44070,2084,2382,2595,
300,44415,2110,2549,2835,
300,44772,2097,2511,2248,
300,44759,2100,2425,2360,
300,44660,2080,2532,2134,
300,44745,2100,2725,2571,
300,44745,2082,2691,2426,
300,44849,2102,2291,2254,
300,44822,2084,2455,2109,
300,44814,2094,2658,2867,
300,44730,2105,2491,2546,
300,44147,2084,2373,2751,
300,44415,2095,2610,2282,
300,44184,2095,2527,2392,
300,44597,2110,2335,2545,
300,44730,2085,2433,2356,
300,44697,2098,2472,2789,
300,44660,2117,2337,2322,
300,44550,2092,2639,2280,
300,44147,2117,2588,2475,
300,44640,2090,2501,2752,
300,43989,2103,2587,2704,
300,44525,2089,2681,2484,
300,43722,2114,2353,2121,
300,44697,2079,2504,2255,
300,44844,2099,2482,2490,
300,44822,2099,2451,2962,
300,44814,2115,2462,2215,
300,44525,2114,2452,2435,
300,44640,2102,2434,2522,
300,44784,2079,2567,2280,
300,44772,2111,2446,2569,
300,44220,2095,2506,2784,
300,44220,2109,2415,2394,
300,44660,2107,2596,2288,
300,44835,2093,2490,2343,
300,44030,2096,2456,2294,
300,44640,2101,2441,2477,
